site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site7,normal,0,360,0.7643736291335781,0.0,0,100.0,276.784,0,1,0,0.700036537298751,0.4668807379430345,0.14946763030981805,0.33611111111111114,765.2942142857142,582.9016857142857,mpc_weibull_k2p0,42,normal,sensitivity_weibull_k2,0,0.3,0.9,360
site7,normal,1,360,0.6913795576205464,0.0,0,100.0,276.784,0,1,0,0.700036537298751,0.5255533330966693,0.19382081096956283,0.33611111111111114,765.2942142857142,582.9016857142857,mpc_weibull_k2p0,42,normal,sensitivity_weibull_k2,0,0.3,0.9,360
site7,normal,2,360,0.37353930580432293,0.0,0,100.0,276.784,0,2,0,0.700036537298751,0.457713081280446,0.14846481060730285,0.33611111111111114,765.2942142857142,582.9016857142857,mpc_weibull_k2p0,42,normal,sensitivity_weibull_k2,0,0.3,0.9,360
site7,normal,3,360,0.6438783941685035,0.0,0,100.0,276.784,0,1,0,0.700036537298751,0.45471883631129323,0.14631964751751994,0.33611111111111114,765.2942142857142,582.9016857142857,mpc_weibull_k2p0,42,normal,sensitivity_weibull_k2,0,0.3,0.9,360
site7,normal,4,360,0.8433625660141872,0.0,0,100.0,276.784,0,1,0,0.700036537298751,0.5858696748236437,0.2284565671904272,0.33611111111111114,765.2942142857142,582.9016857142857,mpc_weibull_k2p0,42,normal,sensitivity_weibull_k2,0,0.3,0.9,360
site7,normal,5,360,0.7450811967855364,0.0,0,100.0,276.784,0,1,0,0.700036537298751,0.5392549722616594,0.2475224501345529,0.33611111111111114,765.2942142857142,582.9016857142857,mpc_weibull_k2p0,42,normal,sensitivity_weibull_k2,0,0.3,0.9,360
site7,normal,6,360,0.5326199233713568,0.0,0,100.0,276.784,0,2,0,0.700036537298751,0.41512703218081304,0.1473489634288618,0.33611111111111114,765.2942142857142,582.9016857142857,mpc_weibull_k2p0,42,normal,sensitivity_weibull_k2,0,0.3,0.9,360
site7,normal,7,360,0.5177125153656817,0.0,0,100.0,276.784,0,2,0,0.700036537298751,0.4552196241751381,0.21336696220617057,0.33611111111111114,765.2942142857142,582.9016857142857,mpc_weibull_k2p0,42,normal,sensitivity_weibull_k2,0,0.3,0.9,360
site7,normal,8,360,0.7724536151319743,0.0,0,100.0,276.784,0,1,0,0.700036537298751,0.5099607239414308,0.15754761630821434,0.33611111111111114,765.2942142857142,582.9016857142857,mpc_weibull_k2p0,42,normal,sensitivity_weibull_k2,0,0.3,0.9,360
site7,normal,9,360,0.8654647177622501,3.87,1,99.7222,272.914,0,1,0,0.700036537298751,0.515395370974765,0.13880589269526983,0.3333333333333333,765.2942142857142,579.0316857142857,mpc_weibull_k2p0,42,normal,sensitivity_weibull_k2,0,0.3,0.9,360
