site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site10,extreme,0,360,0.6400458858338742,0.0,0,100.0,41.66501000000001,0,1,0,0.8073196035033571,0.5704592015800071,0.4974834581158987,0.7833333333333333,974.6851904761904,431.5390861904762,rlinv,500,normal,phase3_rlinv,400000,0.3,0.9,360
site10,extreme,1,360,0.8978558151376326,0.0,0,100.0,41.66501000000001,0,0,0,0.8073196035033571,0.8282691308837653,0.755293387419657,0.6194444444444445,974.6851904761904,431.5390861904762,rlinv,500,normal,phase3_rlinv,400000,0.3,0.9,360
site10,extreme,2,360,0.38375680226035874,0.0,0,100.0,41.66501000000001,0,1,0,0.8073196035033571,0.5108367846731583,0.29435531453376096,0.8777777777777778,974.6851904761904,431.5390861904762,rlinv,500,normal,phase3_rlinv,400000,0.3,0.9,360
site10,extreme,3,360,0.5469648678219678,0.0,0,100.0,41.66501000000001,0,1,0,0.8073196035033571,0.7173781835681006,0.5117336679916809,0.6527777777777778,974.6851904761904,431.5390861904762,rlinv,500,normal,phase3_rlinv,400000,0.3,0.9,360
site10,extreme,4,360,0.307781120326638,0.0,0,100.0,41.66501000000001,0,1,0,0.8073196035033571,0.7765277694061042,0.28737175599785997,0.6472222222222223,974.6851904761904,431.5390861904762,rlinv,500,normal,phase3_rlinv,400000,0.3,0.9,360
site10,extreme,5,360,0.8102537803087884,0.0,0,100.0,41.66501000000001,0,1,0,0.8073196035033571,0.7406670960549213,0.6676913525908129,0.6083333333333333,974.6851904761904,431.5390861904762,rlinv,500,normal,phase3_rlinv,400000,0.3,0.9,360
site10,extreme,6,360,0.4806350129551042,0.0,0,100.0,41.66501000000001,0,1,0,0.8073196035033571,0.41104832870123714,0.3380725852371289,0.8527777777777777,974.6851904761904,431.5390861904762,rlinv,500,normal,phase3_rlinv,400000,0.3,0.9,360
site10,extreme,7,360,0.46137535805531094,0.0,0,100.0,41.66501000000001,0,2,0,0.8073196035033571,0.662622007134777,0.39262377554944283,0.625,974.6851904761904,431.5390861904762,rlinv,500,normal,phase3_rlinv,400000,0.3,0.9,360
site10,extreme,8,360,0.8075146127270791,0.0,0,100.0,41.66501000000001,0,1,0,0.8073196035033571,0.7379279284732121,0.6649521850091036,0.6138888888888889,974.6851904761904,431.5390861904762,rlinv,500,normal,phase3_rlinv,400000,0.3,0.9,360
site10,extreme,9,360,0.5264223036325569,0.0,0,100.0,41.66501000000001,0,1,0,0.8073196035033571,0.5793356193786898,0.4463817230496472,0.7388888888888889,974.6851904761904,431.5390861904762,rlinv,500,normal,phase3_rlinv,400000,0.3,0.9,360
