site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site3,delayed,0,360,0.6750572799628003,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.7743004705134173,0.6005933256793188,0.3527777777777778,1314.9257619047619,648.5934047619048,a6,7,normal,phase3_a6,400000,0.3,0.9,360
site3,delayed,1,360,0.49618336596333645,0.0,0,100.0,122.62310000000004,0,2,0,0.720046309833225,0.7704265565139533,0.4047515500016288,0.38055555555555554,1314.9257619047619,648.5934047619048,a6,7,normal,phase3_a6,400000,0.3,0.9,360
site3,delayed,2,360,0.8221495223820507,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.8147260462660013,0.6384721755030823,0.3638888888888889,1314.9257619047619,648.5934047619048,a6,7,normal,phase3_a6,400000,0.3,0.9,360
site3,delayed,3,360,0.8736010257773852,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.7528442163280022,0.6426437140649695,0.36666666666666664,1314.9257619047619,648.5934047619048,a6,7,normal,phase3_a6,400000,0.3,0.9,360
site3,delayed,4,360,0.3771421216615198,0.0,0,100.0,122.62310000000004,0,2,0,0.720046309833225,0.6830519788788033,0.2857103056998122,0.4222222222222222,1314.9257619047619,648.5934047619048,a6,7,normal,phase3_a6,400000,0.3,0.9,360
site3,delayed,5,360,0.45049467486506767,0.0,0,100.0,122.62310000000004,0,2,0,0.720046309833225,0.818071198749018,0.35906285890336004,0.3194444444444444,1314.9257619047619,648.5934047619048,a6,7,normal,phase3_a6,400000,0.3,0.9,360
site3,delayed,6,360,0.818878552209952,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.8164550760939026,0.6352012053309836,0.3638888888888889,1314.9257619047619,648.5934047619048,a6,7,normal,phase3_a6,400000,0.3,0.9,360
site3,delayed,7,360,0.798589991333467,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.7994998485507505,0.6224746743460683,0.35833333333333334,1314.9257619047619,648.5934047619048,a6,7,normal,phase3_a6,400000,0.3,0.9,360
site3,delayed,8,360,0.7156460207790915,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.804055877996375,0.6242142048173838,0.3388888888888889,1314.9257619047619,648.5934047619048,a6,7,normal,phase3_a6,400000,0.3,0.9,360
site3,delayed,9,360,0.6401501033276191,0.0,0,100.0,122.62310000000004,0,2,0,0.720046309833225,0.7093932938782362,0.5487182873659116,0.3972222222222222,1314.9257619047619,648.5934047619048,a6,7,normal,phase3_a6,400000,0.3,0.9,360
