site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site5,delayed,0,360,0.7643736291335781,193.28052000000002,26,92.7778,778.74808,0,3,0,0.4897692630495993,0.3466045954615937,0.06793809897129628,0.6277777777777778,1365.9809523809524,1325.140460952381,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
site5,delayed,1,360,0.6913795576205464,0.0,0,100.0,1064.05268,0,6,0,0.48058212854667537,0.707625883475738,0.3636036887776938,0.7583333333333333,1258.06,1567.27668,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
site5,delayed,2,360,0.37353930580432293,210.02623999999997,34,90.5556,1157.60012,0,7,0,0.36541464966428416,0.31575185054036053,0.06257507169787045,0.75,920.0753333333334,1525.6302533333335,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
site5,delayed,3,360,0.6438783941685035,0.0,0,100.0,1204.88312,0,7,0,0.40339227312107434,0.6061138624013847,0.218261197772395,0.8194444444444444,1054.9674285714286,1626.8700914285714,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
site5,delayed,4,360,0.8433625660141872,0.0,0,100.0,636.87864,0,4,0,0.6333033354992419,0.6839600779986726,0.4886647215568681,0.5611111111111111,1752.278857142857,1337.790182857143,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
site5,delayed,5,360,0.7450811967855364,0.0,0,100.0,1117.7901200000001,0,7,0,0.46964644700743635,0.7014196063689816,0.3842190463037519,0.7472222222222222,1156.8181904761905,1580.5173961904763,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
site5,delayed,6,360,0.5326199233713568,0.0,0,100.0,686.20612,0,5,0,0.642514146090535,0.6329428056559222,0.31942749607181153,0.5222222222222223,1617.4486666666667,1333.1855866666667,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
site5,delayed,7,360,0.5177125153656817,0.0,0,100.0,1166.4603200000001,0,7,0,0.4657380017688254,0.5178745493506426,0.06072548058533134,0.7305555555555555,1132.1929523809524,1619.337500952381,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
site5,delayed,8,360,0.7724536151319743,65.37480000000001,10,97.2222,1197.808,0,6,0,0.4403013906938128,0.46055885349357495,0.057067621831003494,0.7194444444444444,1112.2417142857144,1642.7046857142857,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
site5,delayed,9,360,0.8654647177622501,45.96252,7,98.0556,1153.673,0,5,0,0.4503953595408275,0.493060552954575,0.06638113970789838,0.7194444444444444,1096.0070476190476,1592.075819047619,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
