site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site2,delayed,0,360,0.7643736291335781,0.0,0,100.0,565.8108400000001,0,3,0,0.6920563057270234,0.7051224649483525,0.42925354299170887,0.5222222222222223,2411.8975714285716,1530.5698685714287,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
site2,delayed,1,360,0.6913795576205464,0.0,0,100.0,892.8983600000001,0,5,0,0.614177130712584,0.8227856744834058,0.41867236511995626,0.5666666666666667,2012.2328095238095,1697.791483809524,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
site2,delayed,2,360,0.37353930580432293,0.0,0,100.0,522.6469,0,3,0,0.7116713696213269,0.6569982616572546,0.13361217514622437,0.4388888888888889,2433.3908095238094,1496.0032238095237,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
site2,delayed,3,360,0.6438783941685035,0.0,0,100.0,498.5402,0,3,0,0.7302364145639304,0.8260472367746915,0.5623692415948999,0.4388888888888889,2522.232285714286,1507.4331142857145,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
site2,delayed,4,360,0.8433625660141872,0.0,0,100.0,367.7928,0,2,0,0.7239071389249874,0.7394709667978071,0.4842569213033326,0.4777777777777778,2708.5219523809524,1451.201580952381,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
site2,delayed,5,360,0.7450811967855364,0.0,0,100.0,538.6937800000001,0,2,0,0.6911508747112122,0.7618563068621007,0.26961179269610064,0.4777777777777778,2426.070904761905,1509.122141904762,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
site2,delayed,6,360,0.5326199233713568,0.0,0,100.0,887.25088,0,5,0,0.6242417751877121,0.706026545991403,0.44341777212788536,0.6472222222222223,1997.1668571428572,1686.117622857143,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
site2,delayed,7,360,0.5177125153656817,0.0,0,100.0,219.94174,0,2,0,0.8294971470922677,0.7982329358319252,0.4471945125211575,0.29444444444444445,2737.7906190476187,1315.0579876190475,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
site2,delayed,8,360,0.7724536151319743,194.9044,26,92.7778,1142.85976,0,5,0,0.44886097912605594,0.46760990130033075,0.05427462891121828,0.6611111111111111,1613.155857142857,1788.1221028571429,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
site2,delayed,9,360,0.8654647177622501,0.0,0,100.0,348.32624000000004,0,2,0,0.7258103261948595,0.7832428374299667,0.5830207877122119,0.5277777777777778,2763.555714285714,1453.7485257142857,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360
