site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site3,normal,0,360,0.6750572799628003,0.0,0,100.0,122.62310000000004,0,2,0,0.720046309833225,0.7793004705134172,0.6415538121499645,0.4638888888888889,1314.9257619047619,648.5934047619048,a5,7,normal,phase3_a5,400000,0.3,0.9,360
site3,normal,1,360,0.49618336596333645,0.0,0,100.0,122.62310000000004,0,2,0,0.720046309833225,0.7712598898472866,0.4047515500016288,0.4638888888888889,1314.9257619047619,648.5934047619048,a5,7,normal,phase3_a5,400000,0.3,0.9,360
site3,normal,2,360,0.8221495223820507,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.876392712932668,0.6762850112948183,0.4638888888888889,1314.9257619047619,648.5934047619048,a5,7,normal,phase3_a5,400000,0.3,0.9,360
site3,normal,3,360,0.8736010257773852,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.7928442163280022,0.6426437140649695,0.4638888888888889,1314.9257619047619,648.5934047619048,a5,7,normal,phase3_a5,400000,0.3,0.9,360
site3,normal,4,360,0.3771421216615198,0.0,0,100.0,122.62310000000004,0,3,0,0.720046309833225,0.7588853122121365,0.36410119170157057,0.4638888888888889,1314.9257619047619,648.5934047619048,a5,7,normal,phase3_a5,400000,0.3,0.9,360
site3,normal,5,360,0.45049467486506767,0.0,0,100.0,122.62310000000004,0,2,0,0.720046309833225,0.818071198749018,0.35906285890336004,0.4638888888888889,1314.9257619047619,648.5934047619048,a5,7,normal,phase3_a5,400000,0.3,0.9,360
site3,normal,6,360,0.818878552209952,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.8739550760939023,0.6730140411227195,0.4638888888888889,1314.9257619047619,648.5934047619048,a5,7,normal,phase3_a5,400000,0.3,0.9,360
site3,normal,7,360,0.798589991333467,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.8394998485507507,0.6527254802462344,0.4638888888888889,1314.9257619047619,648.5934047619048,a5,7,normal,phase3_a5,400000,0.3,0.9,360
site3,normal,8,360,0.7156460207790915,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.8073892113297085,0.6242142048173838,0.4638888888888889,1314.9257619047619,648.5934047619048,a5,7,normal,phase3_a5,400000,0.3,0.9,360
site3,normal,9,360,0.6401501033276191,0.0,0,100.0,122.62310000000004,0,2,0,0.720046309833225,0.7668932938782362,0.6164126802544532,0.4638888888888889,1314.9257619047619,648.5934047619048,a5,7,normal,phase3_a5,400000,0.3,0.9,360
