site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site1,extreme,0,360,0.6400458858338742,0.0,0,100.0,36.545,0,0,0,0.8725245970507546,0.5958795642198462,0.5259860485045192,0.5444444444444444,1198.1051428571427,515.7870571428571,oracle_mpc,500,normal,main,0,0.3,0.9,360
site1,extreme,1,360,0.8978558151376326,0.0,0,100.0,36.545,0,0,0,0.8725245970507546,0.8536894935236047,0.7837959778082776,0.5527777777777778,1198.1051428571427,515.7870571428571,oracle_mpc,500,normal,main,0,0.3,0.9,360
site1,extreme,2,360,0.38375680226035874,0.0,0,100.0,36.545,0,0,0,0.8725245970507546,0.33959048064633074,0.26969696493100365,0.5472222222222223,1198.1051428571427,515.7870571428571,oracle_mpc,500,normal,main,0,0.3,0.9,360
site1,extreme,3,360,0.5469648678219678,0.0,0,100.0,36.545,0,0,0,0.8725245970507546,0.50279854620794,0.43290503049261286,0.5388888888888889,1198.1051428571427,515.7870571428571,oracle_mpc,500,normal,main,0,0.3,0.9,360
site1,extreme,4,360,0.307781120326638,0.0,0,100.0,36.545,0,1,0,0.8725245970507546,0.48861479871261004,0.24659548478129178,0.5555555555555556,1198.1051428571427,515.7870571428571,oracle_mpc,500,normal,main,0,0.3,0.9,360
site1,extreme,5,360,0.8102537803087884,0.0,0,100.0,36.545,0,0,0,0.8725245970507546,0.7660874586947605,0.6961939429794334,0.55,1198.1051428571427,515.7870571428571,oracle_mpc,500,normal,main,0,0.3,0.9,360
site1,extreme,6,360,0.4806350129551042,0.0,0,100.0,36.545,0,0,0,0.8725245970507546,0.43646869134107613,0.36657517562574915,0.5472222222222223,1198.1051428571427,515.7870571428571,oracle_mpc,500,normal,main,0,0.3,0.9,360
site1,extreme,7,360,0.46137535805531094,0.0,0,100.0,36.545,0,0,0,0.8725245970507546,0.417209036441283,0.3473155207259559,0.5388888888888889,1198.1051428571427,515.7870571428571,oracle_mpc,500,normal,main,0,0.3,0.9,360
site1,extreme,8,360,0.8075146127270791,0.0,0,100.0,36.545,0,0,0,0.8725245970507546,0.7633482911130511,0.6934547753977242,0.5444444444444444,1198.1051428571427,515.7870571428571,oracle_mpc,500,normal,main,0,0.3,0.9,360
site1,extreme,9,360,0.5264223036325569,0.0,0,100.0,36.545,0,0,0,0.8725245970507546,0.4822559820185289,0.4123624663032019,0.5444444444444444,1198.1051428571427,515.7870571428571,oracle_mpc,500,normal,main,0,0.3,0.9,360
