site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site1,monsoon,0,360,0.6036184047290367,0.0,0,100.0,36.545,0,1,0,0.8725245970507546,0.8227854164483422,0.6036184047290367,0.5555555555555556,1198.1051428571427,515.7870571428571,rlinv_lognormal08,99,normal,sensitivity_lognormal_sigma08,400000,0.3,0.9,360
site1,monsoon,1,360,0.8009889783012054,0.0,0,100.0,36.545,0,1,0,0.8725245970507546,0.7568226566871775,0.6869291409718504,0.5472222222222223,1198.1051428571427,515.7870571428571,rlinv_lognormal08,99,normal,sensitivity_lognormal_sigma08,400000,0.3,0.9,360
site1,monsoon,2,360,0.8661195033663325,0.0,0,100.0,36.545,0,0,0,0.8725245970507546,0.8219531817523045,0.7520596660369775,0.5194444444444445,1198.1051428571427,515.7870571428571,rlinv_lognormal08,99,normal,sensitivity_lognormal_sigma08,400000,0.3,0.9,360
site1,monsoon,3,360,0.3959946870025822,0.0,0,100.0,36.545,0,1,0,0.8725245970507546,0.45516169872188766,0.2819348496732272,0.4111111111111111,1198.1051428571427,515.7870571428571,rlinv_lognormal08,99,normal,sensitivity_lognormal_sigma08,400000,0.3,0.9,360
site1,monsoon,4,360,0.48760993963376853,0.0,0,100.0,36.545,0,2,0,0.8725245970507546,0.7217769513530738,0.4876099396337685,0.5805555555555556,1198.1051428571427,515.7870571428571,rlinv_lognormal08,99,normal,sensitivity_lognormal_sigma08,400000,0.3,0.9,360
site1,monsoon,5,360,0.8031388874217213,0.0,0,100.0,36.545,0,1,0,0.8725245970507546,0.7589725658076935,0.6890790500923664,0.55,1198.1051428571427,515.7870571428571,rlinv_lognormal08,99,normal,sensitivity_lognormal_sigma08,400000,0.3,0.9,360
site1,monsoon,6,360,0.6829172001609267,0.0,0,100.0,36.545,0,1,0,0.8725245970507546,0.8145842118802321,0.6579797777977704,0.46944444444444444,1198.1051428571427,515.7870571428571,rlinv_lognormal08,99,normal,sensitivity_lognormal_sigma08,400000,0.3,0.9,360
site1,monsoon,7,360,0.8894447132780015,0.0,0,100.0,36.545,0,0,0,0.8725245970507546,0.8452783916639734,0.7753848759486466,0.5083333333333333,1198.1051428571427,515.7870571428571,rlinv_lognormal08,99,normal,sensitivity_lognormal_sigma08,400000,0.3,0.9,360
site1,monsoon,8,360,0.6891215516401548,0.0,0,100.0,36.545,0,1,0,0.8725245970507546,0.9299552300261269,0.6891215516401548,0.4777777777777778,1198.1051428571427,515.7870571428571,rlinv_lognormal08,99,normal,sensitivity_lognormal_sigma08,400000,0.3,0.9,360
site1,monsoon,9,360,0.813596290397157,0.0,0,100.0,36.545,0,1,0,0.8725245970507546,0.7702633021164623,0.6995364530678019,0.5416666666666666,1198.1051428571427,515.7870571428571,rlinv_lognormal08,99,normal,sensitivity_lognormal_sigma08,400000,0.3,0.9,360
